pdb_id,cid,target,species,affinity,affinity_type,tanimoto
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),1630,IC50,0.92694
7E2Z,34458,5-hydroxytryptamine receptor 1A,Homo sapiens (Human),730.02,Ki,0.91441
5WIV,34458,D(2) dopamine receptor,Rattus norvegicus (rat),363,Ki,na
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),529,Ki,0.89954
2A3R,34458,D(3) dopamine receptor,Rattus norvegicus (Rat),30,Ki,0.91781
2D0T,34458,"Indoleamine 2,3-dioxygenase 1",Homo sapiens (Human),35600,IC50,1.00000
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),320.11,Ki,0.91441
7E2Z,34458,5-hydroxytryptamine receptor 1A,Homo sapiens (Human),497.43,Ki,0.91250
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),1189,Ki,0.92237
4PZS,34458,Histone acetyltransferase p300,Homo sapiens (Human),1800,IC50,na
7LBG,34458,Tissue factor,Homo sapiens (Human),152,IC50,0.92694
6C5Z,34458,Glucose-6-phosphate 1-dehydrogenase,Homo sapiens (Human),>80000,IC50,1.00000
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),76,IC50,na
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),6.6,Ki,0.92237
7E2Z,34458,Alpha-1A adrenergic receptor,Homo sapiens (Human),5400,IC50,1.00000
5WIV,34458,D(4) dopamine receptor,Homo sapiens (Human),>1000,Ki,0.92237
4IAQ,34458,D(1B) dopamine receptor,Homo sapiens (Human),242,Ki,0.92694
2A3R,34458,D(3) dopamine receptor,Homo sapiens (Human),37,Ki,0.92237
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),1420,IC50,na
5WIV,34458,D(4) dopamine receptor,Homo sapiens (Human),>1000,Ki,0.92694
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),15970,EC50,1.00000
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),4940,IC50,na
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),32,Ki,0.93151
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),3110,IC50,0.90411
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),17370,IC50,1.00000
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),522.03,Ki,0.90991
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),102,Ki,0.92237
7E2Z,34458,5-hydroxytryptamine receptor 1A,Homo sapiens (Human),>5000,Ki,0.97717
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),630,IC50,0.91781
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),>5000,Ki,0.89498
4IAQ,34458,D(1B) dopamine receptor,Homo sapiens (Human),9.5,Ki,0.92237
5WIV,34458,D(4) dopamine receptor,Homo sapiens (Human),3748,Ki,0.91781
2A3R,34458,D(3) dopamine receptor,Homo sapiens (Human),1371,Ki,0.92694
2A3R,34458,D(3) dopamine receptor,Homo sapiens (Human),262,Ki,0.92237
7E2Z,34458,5-hydroxytryptamine receptor 1A,Homo sapiens (Human),>5000,Ki,0.92694
6B19,34458,Reverse transcriptase,Human immunodeficiency virus 1,>585000,IC50,0.90411
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),50,Ki,0.92694
5DSG,34458,Muscarinic acetylcholine receptor M4,Homo sapiens (Human),2000,Ki,1.00000
7LBG,34458,Tissue factor,Homo sapiens (Human),6.8,IC50,0.97717
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),443,Ki,0.90411
7E2Z,34458,D(1A) dopamine receptor,RAT,339,Ki,na
4IAQ,34458,D(1B) dopamine receptor,Homo sapiens (Human),15,Ki,1.00000
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),1125,Ki,0.92694
7E2Z,34458,5-hydroxytryptamine receptor 1A,Homo sapiens (Human),>5000,Ki,0.92237
2A3R,34458,D(3) dopamine receptor,Homo sapiens (Human),30,Ki,0.91781
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),4.5,Ki,0.92237
5WIV,34458,D(4) dopamine receptor,Homo sapiens (Human),486,Ki,1.00000
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),>5000,Ki,0.97717
7E2Z,34458,5-hydroxytryptamine receptor 1A,Homo sapiens (Human),>5000,Ki,0.91781
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),42,Ki,0.92237
7LBG,34458,Tissue factor,Homo sapiens (Human),187,IC50,0.90411
5HK2,34458,Sigma non-opioid intracellular receptor 1,Homo sapiens (Human),2.5,Ki,0.92694
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),485.43,Ki,0.91250
1JY1,34458,Tyrosyl-DNA phosphodiesterase 2,Homo sapiens (Human),128332,IC50,0.89954
5WIV,34458,D(2) dopamine receptor,Rattus norvegicus (rat),1148,Ki,na
2AR9,34458,Caspase-9,Homo sapiens (Human),4300,IC50,0.89954
2A3R,34458,D(3) dopamine receptor,Homo sapiens (Human),433,Ki,1.00000
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),105.41,IC50,0.91781
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),6.3,Ki,1.00000
7E2Z,34458,D(1A) dopamine receptor,RAT,1698,Ki,na
7E2Z,34458,5-hydroxytryptamine receptor 1A,Homo sapiens (Human),>5000,Ki,1.00000
1Z6T,34458,Apoptotic protease-activating factor 1,Homo sapiens (Human),16300,IC50,0.89954
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),11,Ki,0.91781
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),113,Ki,0.92237
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),1003.72,Ki,0.90991
7E2Z,34458,Alpha-1A adrenergic receptor,Rattus norvegicus (Rat),2239,Ki,0.91781
5WIV,34458,D(2) dopamine receptor,Homo sapiens (Human),9740,EC50,0.91250
7E2Z,34458,D(1A) dopamine receptor,Homo sapiens (Human),>5000,Ki,1.00000
6BO8,6552009,Transient receptor potential cation channel subfamily A member 1,Homo sapiens (Human),300000,IC50,1.00000
3OP3,6552009,M-phase inducer phosphatase 2,Homo sapiens (Human),5800,IC50,0.94444
3OP3,6552009,M-phase inducer phosphatase 1,Homo sapiens (Human),3900,IC50,0.94444
3BZU,6552009,11-beta-hydroxysteroid dehydrogenase 1,Homo sapiens (Human),>1000000,IC50,0.87179
2Q5E,101681,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Homo sapiens (Human),12105,IC50,0.86957
6K3J,101681,DNA dC->dU-editing enzyme APOBEC-3G,Homo sapiens (Human),3300,IC50,0.86957
5HK2,101681,Sigma non-opioid intracellular receptor 1,Homo sapiens (Human),1.7,Ki,0.86957
4XXO,101681,DNA dC->dU-editing enzyme APOBEC-3A,Homo sapiens (Human),2690,IC50,0.88889
2Q5E,101681,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Homo sapiens (Human),27796,IC50,0.86957
2Q5E,101681,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Homo sapiens (Human),5619,IC50,0.88889
6K3J,101681,DNA dC->dU-editing enzyme APOBEC-3G,Homo sapiens (Human),4710,IC50,0.88889
4XXO,101681,DNA dC->dU-editing enzyme APOBEC-3A,Homo sapiens (Human),2280,IC50,0.86957
6BO8,101680,Transient receptor potential cation channel subfamily A member 1,Homo sapiens (Human),300000,IC50,1.00000
3OP3,101680,M-phase inducer phosphatase 2,Homo sapiens (Human),5800,IC50,0.94444
3OP3,101680,M-phase inducer phosphatase 1,Homo sapiens (Human),3900,IC50,0.94444
3BZU,101680,11-beta-hydroxysteroid dehydrogenase 1,Homo sapiens (Human),>1000000,IC50,0.87179
3EQM,11988279,Aromatase,Homo sapiens (Human),1100,IC50,0.97727
5A5I,11988279,Cytochrome P450 2C9,Homo sapiens (Human),5500,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),60,IC50,0.97727
6P2B,11988279,Nuclear receptor subfamily 1 group I member 3,Mus musculus,794,IC50,0.93258
3EQM,11988279,Aromatase,Homo sapiens (Human),9,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),22,Ki,0.97727
5SVK,11988279,P2X purinoceptor 3,Homo sapiens (Human),1600,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),9.3,Ki,0.97727
5HCV,11988279,Mineralocorticoid receptor,Homo sapiens (Human),0.390000,Kd,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),1.4,Ki,0.97727
6BSF,11988279,Glucocorticoid receptor,Homo sapiens (Human),6060,IC50,0.96629
5BXJ,11988279,Androgen receptor,Homo sapiens (Human),315,Ki,0.96629
7BW1,11988279,3-oxo-5-alpha-steroid 4-dehydrogenase 1,Homo sapiens (Human),2700,IC50,0.97727
7TX6,11988279,Solute carrier organic anion transporter family member [3-691],Danio rerio (Zebrafish),9.06e+3,Ki,0.97727
5BXJ,11988279,Androgen receptor,Homo sapiens (Human),660,IC50,0.96629
3EQM,11988279,Aromatase,Homo sapiens (Human),12,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),89,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),28000,IC50,0.91304
6C0V,11988279,ATP-dependent translocase ABCB1,Homo sapiens (Human),21200,EC50,0.97727
2VDX,11988279,Corticosteroid-binding globulin,Homo sapiens,1738,Ki,0.97727
1A28,11988279,Progesterone receptor,Homo sapiens (Human),740,IC50,0.96629
3EQM,11988279,Aromatase,Homo sapiens (Human),1.4,Ki,0.97727
6BSF,11988279,Glucocorticoid receptor,Homo sapiens (Human),10,IC50,0.95556
3EQM,11988279,Aromatase,Homo sapiens (Human),2400,Ki,0.91304
5HK2,11988279,Sigma non-opioid intracellular receptor 1,Cavia porcellus (Guinea pig),660,Ki,0.97727
6C0V,11988279,ATP-dependent translocase ABCB1,Homo sapiens (Human),47863,IC50,0.97727
2VDX,11988279,Corticosteroid-binding globulin,Homo sapiens,166,Ki,na
7MHY,11988279,Ghrelin O-acyltransferase,Homo sapiens (Human),>1.000e+6,IC50,1.00000
6BSF,11988279,Glucocorticoid receptor,Homo sapiens (Human),224,Ki,0.96629
3EQM,11988279,Aromatase,Homo sapiens (Human),3000,Ki,0.97727
6UEZ,11988279,Lanosterol 14-alpha demethylase,Homo sapiens (Human),>200000,IC50,0.97727
1A28,11988279,Progesterone receptor,Homo sapiens (Human),224,Ki,0.96629
6OHU,11988279,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",Homo sapiens (Human),>100000,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),5.1,Ki,0.91489
3EQM,11988279,Aromatase,Homo sapiens (Human),22,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),260,IC50,0.97727
6L47,11988279,Sterol O-acyltransferase 1,Homo sapiens (Human),17000,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),270,IC50,na
5HCV,11988279,Mineralocorticoid receptor,Homo sapiens (Human),>1000,IC50,0.95556
6AK3,11988279,Solute carrier family 22 member 1,Homo sapiens (Human),3050,IC50,0.97727
5HK2,11988279,Sigma non-opioid intracellular receptor 1,RAT,239,Kd,0.97727
1A28,11988279,Progesterone receptor,Oryctolagus cuniculus,6,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),510,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),480,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),3,Ki,0.90526
7MHY,11988279,Ghrelin O-acyltransferase,Homo sapiens (Human),1.70e+5,IC50,0.87356
1A28,11988279,Progesterone receptor,Homo sapiens (Human),3.4,Ki,0.97727
5BXJ,11988279,Androgen receptor,Rattus norvegicus (Rat),1548.82,IC50,0.97727
5HCV,11988279,Mineralocorticoid receptor,Homo sapiens (Human),>14,IC50,0.97727
1A28,11988279,Progesterone receptor,Homo sapiens (Human),0.1,EC50,0.97727
1A28,11988279,Progesterone receptor,Homo sapiens (Human),0.340000,Ki,0.95556
3EQM,11988279,Aromatase,Homo sapiens (Human),5.1,Ki,0.91489
6AK3,11988279,Solute carrier family 22 member 3,Rattus norvegicus,10500,IC50,0.97727
1S9C,11988279,Steroid C26-monooxygenase,Mycobacterium tuberculosis,3.6e+2,Kd,1.00000
3EQM,11988279,Aromatase,Homo sapiens (Human),240,IC50,0.97727
1A28,11988279,Progesterone receptor,Homo sapiens (Human),0.2,IC50,0.97727
5HCV,11988279,Mineralocorticoid receptor,Homo sapiens (Human),39,Ki,0.96629
3EQM,11988279,Aromatase,Homo sapiens (Human),1200,IC50,0.97727
1A28,11988279,Progesterone receptor,Oryctolagus cuniculus,10.4,Ki,0.97727
5BXJ,11988279,Androgen receptor,Homo sapiens (Human),14,IC50,0.97727
7BW1,11988279,3-oxo-5-alpha-steroid 4-dehydrogenase 1/2,Rattus norvegicus,1600,IC50,0.97727
2WID,11988279,Cholinesterase,Homo sapiens (Human),1.55e+3,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),11,Ki,0.97727
1S63,11988279,Protein farnesyltransferase subunit beta/geranylgeranyltransferase type-1 subunit alpha,Homo sapiens (Human),>100000,IC50,1.00000
5BXJ,11988279,Androgen receptor,Homo sapiens (Human),240,Ki,0.96629
5BXJ,11988279,Androgen receptor,Homo sapiens (Human),630,IC50,0.91489
1A28,11988279,Progesterone receptor,Homo sapiens (Human),0.150000,EC50,0.95556
8BHT,11988279,Broad substrate specificity ATP-binding cassette transporter ABCG2,Homo sapiens (Human),125892.54,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),20,Ki,0.97727
2VDX,11988279,Corticosteroid-binding globulin,Homo sapiens,76,Ki,na
1BHG,11988279,Beta-glucuronidase,Escherichia coli (Enterobacteria),4.30e+5,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),1.4,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),9.3,Ki,0.97727
6PYA,11988279,Sex hormone-binding globulin,Homo sapiens (Human),35,Kd,0.97727
1BHS,11988279,17-beta-hydroxysteroid dehydrogenase type 3,Rattus norvegicus,169,IC50,0.97727
2VDX,11988279,Corticosteroid-binding globulin,Homo sapiens,42,Ki,0.97727
6BSF,11988279,Glucocorticoid receptor,Homo sapiens (Human),252,Ki,0.96629
7CFM,11988279,G-protein coupled bile acid receptor 1,Homo sapiens (Human),2770,EC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),320,IC50,0.91489
3EQM,11988279,Aromatase,Homo sapiens (Human),350,IC50,0.97727
7BW1,11988279,3-oxo-5-alpha-steroid 4-dehydrogenase 2,Homo sapiens (Human),84,IC50,0.97727
4J24,11988279,Estrogen receptor,Homo sapiens (Human),>1000,IC50,0.97727
5BXJ,11988279,Androgen receptor,Homo sapiens (Human),220,IC50,0.96629
3EQM,11988279,Aromatase,Homo sapiens (Human),31,Ki,0.97727
5BXJ,11988279,Androgen receptor,Mus musculus,37,IC50,0.97727
1BHS,11988279,17-beta-hydroxysteroid dehydrogenase type 3,Homo sapiens (Human),489,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),20,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),720,IC50,0.97727
7DV5,11988279,Bile salt export pump,Homo sapiens (Human),<10000,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),390,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),8.8,Ki,0.97727
2L67,11988279,"Fatty acid-binding protein, liver",Rattus norvegicus (Rat),27,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),1.4,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),140,Ki,0.97727
6BSF,11988279,Glucocorticoid receptor,Homo sapiens (Human),1740,IC50,0.96629
4NKV,11988279,"Steroid 17-alpha-hydroxylase/17,20 lyase",Homo sapiens (Human),160,IC50,0.97727
7PQG,11988279,Bile acid receptor,Homo sapiens (Human),>5000,Ki,0.96629
5BXJ,11988279,Androgen receptor,Homo sapiens (Human),8.5,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),590,IC50,0.96629
5HCV,11988279,Mineralocorticoid receptor,Homo sapiens (Human),37,Ki,0.96629
1A28,11988279,Progesterone receptor,Homo sapiens (Human),201,Ki,0.96629
1A28,11988279,Progesterone receptor,Homo sapiens (Human),43.3,IC50,0.91489
3EQM,11988279,Aromatase,Homo sapiens (Human),250,IC50,0.97727
6PYA,11988279,Sex hormone-binding globulin,Homo sapiens (Human),115,Kd,0.97727
6BSF,11988279,Glucocorticoid receptor,Homo sapiens (Human),31,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),2.8,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),790.0,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),6.7,Ki,0.97727
2VDX,11988279,Corticosteroid-binding globulin,Homo sapiens,151,Ki,na
6P2B,11988279,Nuclear receptor subfamily 1 group I member 2,Homo sapiens (Human),2.4,IC50,0.96629
5HCV,11988279,Mineralocorticoid receptor,Homo sapiens (Human),1000,IC50,0.96629
7PQG,11988279,Bile acid receptor,Homo sapiens (Human),44900,IC50,0.96629
3EQM,11988279,Aromatase,Homo sapiens (Human),5.6,Ki,0.97727
6B19,11988279,Reverse transcriptase,Human immunodeficiency virus 1,>698000,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),55,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),300,IC50,0.97727
5TOA,11988279,Estrogen receptor beta,Homo sapiens (Human),>1000,IC50,0.97727
7PQG,11988279,Bile acid receptor,Homo sapiens (Human),4100,IC50,0.96629
6AK3,11988279,Solute carrier family 22 member 2,RAT,1600,IC50,0.97727
6AK3,11988279,Solute carrier family 22 member 3,Homo sapiens (Human),4280,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),2.8,Ki,0.97727
7PQG,11988279,Bile acid receptor,Homo sapiens (Human),12000,EC50,0.96629
3EQM,11988279,Aromatase,Homo sapiens (Human),1400,IC50,0.97727
7PQG,11988279,Bile acid receptor,Homo sapiens (Human),10000,IC50,0.96629
5TOA,11988279,Estrogen receptor beta,RAT,220,Kd,na
3EQM,11988279,Aromatase,Homo sapiens (Human),1.4,Ki,0.97727
5TOA,11988279,Estrogen receptor beta,Homo sapiens (Human),>1000,IC50,0.95556
3EQM,11988279,Aromatase,Homo sapiens (Human),56,Ki,0.87755
3EQM,11988279,Aromatase,Homo sapiens (Human),1.4,Ki,0.97727
5HCV,11988279,Mineralocorticoid receptor,Homo sapiens (Human),1880,IC50,0.96629
3EQM,11988279,Aromatase,Homo sapiens (Human),150,Ki,0.91304
3EQM,11988279,Aromatase,Homo sapiens (Human),140,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),9.3,Ki,0.97727
6P2B,11988279,Nuclear receptor subfamily 1 group I member 2,Homo sapiens (Human),2.4,IC50,0.96629
3EQM,11988279,Aromatase,Homo sapiens (Human),690,IC50,0.97727
5BXJ,11988279,Androgen receptor,Rattus norvegicus (Rat),64,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),25,Ki,0.93478
1A28,11988279,Progesterone receptor,Homo sapiens (Human),1200,IC50,0.96629
6BSF,11988279,Glucocorticoid receptor,Homo sapiens (Human),>1000,IC50,0.97727
1KZW,11988279,"Fatty acid-binding protein, intestinal",Homo sapiens (Human),20000,Ki,0.97727
2CS5,11988279,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),15300,IC50,1.00000
3EQM,11988279,Aromatase,Homo sapiens (Human),70.0,Ki,0.92473
5HK2,11988279,Sigma non-opioid intracellular receptor 1,Homo sapiens (Human),260,Ki,0.97727
5TOA,11988279,Estrogen receptor beta,RAT,3.9,Kd,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),2.8,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),45,Ki,0.97727
7TX6,11988279,Solute carrier organic anion transporter family member [3-691],Danio rerio (Zebrafish),3.78e+3,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),8.8,Ki,0.97727
5HK2,11988279,C-8 sterol isomerase ERG2,Saccharomyces cerevisiae,4430,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),105,IC50,na
3EQM,11988279,Aromatase,Homo sapiens (Human),2.3,Ki,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),4.7,Ki,0.97727
7PQG,11988279,Bile acid receptor,Homo sapiens (Human),>5000,Ki,0.96629
2KES,11988279,Alpha-synuclein,Homo sapiens (Human),85900,IC50,0.97727
6AK3,11988279,Solute carrier family 22 member 2,Homo sapiens (Human),26700,IC50,0.97727
3EQM,11988279,Aromatase,Homo sapiens (Human),1800,IC50,0.91304
3EQM,11988279,Aromatase,Homo sapiens (Human),4.6,Ki,0.97727
5BXJ,11988279,Androgen receptor,Homo sapiens (Human),6.1,IC50,0.95556
3SP7,39914,Programmed cell death protein 4,Homo sapiens (Human),3000,EC50,0.85849
3SP7,39914,Programmed cell death protein 4,Homo sapiens (Human),4900,EC50,0.85849
1CSK,5281764,Proto-oncogene tyrosine-protein kinase Src,Homo sapiens (Human),74000,IC50,0.96319
2NYY,5281764,Botulinum neurotoxin type A,Clostridium botulinum,700,Ki,1.00000
5EJK,5281764,Integrase,Human immunodeficiency virus 1,80,IC50,1.00000
2IIM,5281764,Tyrosine-protein kinase Lck,Homo sapiens (Human),118000,IC50,0.96319
6XE8,5281764,Tyrosine-protein phosphatase YopH,Yersinia enterocolitica,379000,IC50,1.00000
1Z3K,5281764,Tyrosine-protein phosphatase non-receptor type 1 [1-301],Homo sapiens (Human),1.400e+6,Ki,1.00000
1Z3K,5281764,Tyrosine-protein phosphatase non-receptor type 1 [1-301],Homo sapiens (Human),1.600e+6,Kd,1.00000
5EJK,5281764,Integrase,Human immunodeficiency virus 1,3000,Kd,1.00000
5EJK,5281764,Integrase,Human immunodeficiency virus 1,34,IC50,1.00000
4JGD,5281764,Dihydroorotate dehydrogenase (fumarate),Leishmania major,398107,IC50,na
6XE8,5281764,Tyrosine-protein phosphatase YopH,Yersinia enterocolitica,12500,Ki,1.00000
5EJK,5281764,Integrase,Human immunodeficiency virus 1,70,IC50,1.00000
5EJK,5281764,Integrase,Human immunodeficiency virus 1,520,IC50,0.93865
5EJK,5281764,Integrase,Human immunodeficiency virus 1,15700,IC50,na
2CAB,5316673,Carbonic anhydrase 2,Homo sapiens (Human),8.3e+2,Ki,0.94795
1HNY,5316673,Pancreatic alpha-amylase,Homo sapiens (Human),128000,Ki,0.90576
3FW3,5316673,Carbonic anhydrase 6,Homo sapiens (Human),7.82e+3,Ki,0.94795
3LII,5316673,Acetylcholinesterase,Homo sapiens (Human),84840,IC50,0.96648
5V6A,5316673,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),42790,IC50,na
6Q6Q,5316673,Xanthine dehydrogenase/oxidase,Bos taurus (Bovine),35600,IC50,0.86885
3LII,5316673,Acetylcholinesterase,Homo sapiens (Human),100000,IC50,0.91777
4Q0L,5316673,Carbonic anhydrase 3,Bos taurus (Cattle),4.77e+3,Ki,0.94795
5EJK,5316673,Integrase,Human immunodeficiency virus 1,>239000,IC50,na
5EJK,5316673,Integrase,Human immunodeficiency virus 1,167000,IC50,0.96919
5V6A,5316673,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),42700,IC50,na
5AKV,5316673,Polyphenol oxidase 2,Agaricus bisporus (Common mushroom),120000,IC50,0.96919
1I0Z,5316673,L-lactate dehydrogenase A chain,Homo sapiens (Human),>500000,IC50,na
6Q20,5316673,Neuraminidase,Influenza A virus (strain A/USSR/90/1977 H1N1),109000,IC50,0.96919
1K4T,5316673,DNA topoisomerase 1,Homo sapiens (Human),260000,IC50,0.91534
4BYI,5316673,Aurora kinase B,Homo sapiens (Human),3.89e+3,IC50,0.96919
2FW4,5316673,Carbonic anhydrase 7,Homo sapiens (Human),3.9,Ki,0.96919
7TPQ,5316673,Prothrombin,Bos taurus (Bovine),22000,IC50,0.91053
2CAB,5316673,Carbonic anhydrase 1,Homo sapiens (Human),>10000,Ki,0.96919
5AKV,5316673,Polyphenol oxidase 2,Agaricus bisporus (Common mushroom),190000,IC50,0.37356
2I9A,5316673,Urokinase-type plasminogen activator,Homo sapiens (Human),6000,IC50,0.94795
1HNY,5316673,Pancreatic alpha-amylase,Homo sapiens (Human),46800,Ki,0.90576
2LEO,5316673,Serine protease 1,Bos taurus (bovine),>500000,IC50,0.91053
4C4Y,5316673,Bifunctional epoxide hydrolase 2,Homo sapiens (Human),24600,Ki,na
2CAB,5316673,Carbonic anhydrase 1,Homo sapiens (Human),1.73e+3,Ki,0.94795
4C4Y,5316673,Bifunctional epoxide hydrolase 2,Homo sapiens (Human),39600,Ki,0.96919
5V6A,5316673,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),61460,IC50,na
4C4Y,5316673,Bifunctional epoxide hydrolase 2,Homo sapiens (Human),19800,IC50,na
5MSB,5316673,Carbonic anhydrase 12,Homo sapiens (Human),44,Ki,0.96919
5V6A,5316673,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),31620,IC50,na
5AKV,5316673,Polyphenol oxidase 2,Agaricus bisporus (Common mushroom),>400000,IC50,0.95845
5V6A,5316673,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),24140,IC50,na
2CS5,5316673,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens (Human),60700,IC50,0.99712
1BQO,5316673,Matrix metalloproteinase-9,Homo sapiens (Human),50000,IC50,na
5AKV,5316673,Polyphenol oxidase 2,Agaricus bisporus (Common mushroom),180000,IC50,0.31569
1N8S,5316673,Pancreatic triacylglycerol lipase,Sus scrofa (Pig),>70000,IC50,0.99140
1HAX,5316673,Chymotrypsin-like elastase family member 1,Sus scrofa (Pig),>500000,IC50,0.91053
3LII,5316673,Acetylcholinesterase,Homo sapiens (Human),89610,IC50,0.99712
1K4T,5316673,DNA topoisomerase 2-alpha,Homo sapiens (Human),330000,IC50,0.95845
1K4T,5316673,DNA topoisomerase 1,Homo sapiens (Human),180000,IC50,0.95580
3LII,5316673,Acetylcholinesterase,Homo sapiens (Human),12,IC50,na
1K4T,5316673,DNA topoisomerase 2-alpha,Homo sapiens (Human),600000,IC50,0.95580
3LXE,5316673,Carbonic anhydrase 4,Homo sapiens (Human),3.76e+3,Ki,0.94795
1HNY,5316673,Pancreatic alpha-amylase,Homo sapiens (Human),2240,Ki,0.90576
2I9A,5316673,Urokinase-type plasminogen activator,Homo sapiens (Human),8000,IC50,0.91053
6GV4,5316673,Genome polyprotein,Dengue virus,1700,IC50,0.96919
5AKV,5316673,Polyphenol oxidase 2,Agaricus bisporus (Common mushroom),520000,IC50,0.38037
5V6A,5316673,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),24140,IC50,na
1BQO,5316673,Matrix metalloproteinase-9,Homo sapiens (Human),100,Kd,na
1K4T,5316673,DNA topoisomerase 2-alpha,Homo sapiens (Human),240000,IC50,0.90576
5V6A,5316673,Replicase polyprotein 1ab,Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus),31620,IC50,na
